,Correlation
GMFG,0.0014851903306954716
S1PR4,-0.006311258061914416
NCF4,-0.022859625372077613
DOK3,-0.011830318654283764
PTPN7,-0.008237819126296255
CD53,-0.017481949189076418
FERMT3,-0.018220839072771094
ARHGAP30,-0.036278349199720304
LCP1,0.012565071061978447
APBB1IP,-0.021580841607220354
RCSD1,-0.03367592771077187
CSF2RB,-0.03212948530959971
HSH2D,0.0064639353101227336
LAT2,-0.016635313081491503
CD38,-0.02424216552565933
EMB,0.003525717364420368
EAF2,-0.010357867378758089
LAIR1,-0.017439897040405758
GAS7,-0.014234046202208426
RFLNB,0.007978220201929261
RIPOR2,0.008006193681883282
WDFY4,-0.030137731793370353
ADAM8,-0.018513726029279746
MYO15B,-0.026628269369849886
ZNF460,-0.03123447493336753
TENT5A,0.006079002833025734
JMJD1C,-0.011226448912136694
ZEB2,-0.0358519773555433
CYTH4,-0.03645076925582185
ADGRE5,0.01106036272234834
CSF3R,-0.031119373792910104
NFKBID,-0.002491612829080725
FMNL1,0.004196617622469465
DENND3,-0.032196760248626805
PTPRE,-0.0016660719545017132
PTPRC,-0.0200945240563852
CYTIP,0.004579193602456588
STK17B,-0.0255563836187508
RASSF2,-0.01919378330547123
PIK3CG,-0.024588364741792344
PLEK,-0.03246346338799187
RAB37,-0.01599505710351396
SPN,0.0002170550316791925
BIN2,-0.015506610021331751
PRKCB,-0.0017113316025979938
C16orf54,-0.018182206470703052
MYO1G,-0.004645503468752516
CELF2,0.003928425588790382
IRAK3,-0.04651012184959498
IKZF1,-0.01953297356218908
TMC8,-0.01537837144008388
PIK3CD,-0.049461319053245724
ARHGAP45,-0.021192704244526083
VAV1,-0.014039800019943857
RASGRP2,-0.0345883586290422
INPP5D,-0.0350179975184609
NCKAP1L,-0.038267673873553766
DOCK2,-0.03137208134161604
DOCK8,-0.03502479788723371
PTK2B,-0.020330779754049153
MYO1F,-0.027375942642603877
PREX1,-0.017580642550981435
CD69,-0.037460808864544254
CLEC2B,0.001982578204903309
CD44,-0.015421530996690209
HHEX,-0.0015987977229428342
SMIM3,-0.014464728234755099
GNA15,-0.00591005583359727
ITGA5,-0.008309531381153661
IRS2,0.017113150963510217
PER1,-0.00030906753235027557
TAMALIN,0.017108373049304394
PDE4B,-0.018521280227296568
SLC2A3,-0.019879769249203597
TNFAIP3,-0.019415636796473238
DUSP10,-0.010380601270078872
PTGER4,-0.004467511001199252
TRIB1,0.011222914814227884
CSRNP1,-0.0013157407188340887
KLF6,0.006621886164099956
PPP1R15A,-0.005816465394742117
CCNL1,-0.02912566173661068
NFKBIZ,-0.036926373152763134
TAGAP,-0.026389128684643656
MME,-0.0029856070842316745
CAVIN2,0.014345903914717397
CXCL12,-0.032766264980443514
