,Correlation
DSG2,-0.02026076155762542
MYO6,0.0003268404184984165
KLF5,0.005779987779433528
PTPRK,-0.020635634692013575
RASEF,-0.013699632572846695
CDS1,0.003590003914042138
CDH1,-0.012429540813526672
ESRP2,-0.005086417778379112
SEPTIN10,0.0032424664251297897
GNG12,-0.005949201178394636
SNX7,-0.010927652857919575
CHMP4C,0.005378324080992297
DSTN,0.020613265301406905
CXADR,0.0035397653518289937
TMEM30B,0.028122253953491598
EPHB3,-0.02083957413824307
SOX9,-0.007785905839865753
CTTN,0.011392906435560395
CD151,0.011065163454756747
EPS8L2,-0.028252123057331435
PKP3,-0.0024507047225907626
NBL1,0.011654027681096774
BCAR1,0.006365917587984255
FBLIM1,-0.007973330524888236
MMP15,0.018759696452776337
PCDH1,-0.007530633421535162
CGN,-0.017876244105718114
ERBB3,-0.015615891403346396
PRSS8,0.0019660082694413685
BAIAP2L1,-0.017671635524735788
CLDN4,0.008663818412093514
ELF3,-0.02711795029935153
PYCR1,-0.007042054354183732
STARD10,0.022324401796040786
STAP2,0.04066400952857601
PLPP2,0.021413243570601696
TMEM54,0.01191503480729677
LAD1,0.010172951572670756
RAB25,0.008658155319207534
KRT18,0.03946177528508623
KRT8,0.04305503587038991
SPR,-0.0020972802317431945
TSPAN15,0.007950955217450687
KRTCAP3,0.012467331357571118
CLDN7,-0.0045603922579605044
CRB3,0.02162492081435287
TPM1,0.0024566301618776693
GPRC5A,-0.003244297855833283
TSPAN1,0.021416562319119394
AKR7A3,0.0009153302014788501
CMBL,-0.004488607439080334
BSPRY,-0.000831759011518556
ZNF703,0.008864824441809381
GPX2,0.007831254007632302
NQO1,0.01652623447587143
ABCC3,-0.00801685393260725
SLC44A3,-0.02574271464941861
FAT1,-0.00250198434972081
MET,-0.02073107409459423
ATP1B1,0.010018039383127864
GOLM1,0.007095137302203571
LGALS3,0.007690045235510706
PLEK2,-0.0018373219778399384
DDAH1,0.005863128974583013
MYO1D,0.0040828369079899665
PRR15L,0.006866096596690226
TMEM45B,-0.006179540545073818
SH3BGRL2,0.00576554497226135
EPCAM,0.019935946493375704
PLS1,-0.0028533837690680017
ATP8B1,-0.02775605395122499
F2RL1,-0.02411734451243552
LRATD1,0.011242703113880802
PARM1,-0.029356460198519996
HSD11B2,0.024399342852229677
ST14,0.009657591561197368
CYP2S1,0.00988086492915382
MYH14,0.03202614964403654
PRSS23,-0.008112526163060001
APCDD1,0.011026370526843967
WFS1,-0.01874063154315089
TLE2,-0.009324929929440912
TSKU,-0.007284136744450693
ETV4,-0.0020534226359665703
SPRY4,-0.0183144307297057
CCND1,0.014089646177368112
ATP9A,-0.012663105878996224
TMEM98,-0.0048460377752127266
MYO10,0.0023870614702478517
APP,0.008510279032439859
FKBP9,-0.015251578484239718
CHPF,0.012014513658499348
SH3BP4,0.017716319186169678
ALDOC,0.0007477987359128761
KCNN4,0.0001453198120071044
TRPM4,-0.0018221568371119714
SEL1L3,-0.022361764310612674
TMEM176A,0.008308632670411634
TMEM176B,0.01285063644646455
NELL2,0.010266443605509126
PODXL2,0.01455731406421568
TMEM132A,0.019986957240511097
ABCA3,-0.0019886693243227425
NCS1,0.016333145173712055
SEZ6L2,0.010227191876503958
BOK,0.009036957235792478
CYB561,-0.0007132243509373437
EPB41L1,-0.01045087887398263
CYGB,-0.009361195779293495
SCG5,0.021078667449465023
UCHL1,0.016001208839719894
DPYSL2,0.001078875786870556
SPOCK1,0.01596214141829971
SHC2,0.007750034982358722
SCAMP5,-0.00481038698934419
RGS5,-0.02144572537695496
SYT11,0.0022474256362096526
TUBA1A,0.0019144406352261457
TUBB2A,-0.0005885065342997143
ENO2,0.02155754913136855
SLC22A17,-0.003732409502432747
CRMP1,0.002674030494884433
MAP1B,0.010089390356881748
AKAP12,-0.02377034316146559
NDN,0.01354814781113673
PLPP3,-0.025336197748568417
RAMP2,0.016590922798950095
CADM1,0.0024252274178539596
PEG10,0.0014940165388314418
LPL,0.015634750124915695
CADM4,0.013599072157867065
PLEKHA4,-0.008382314265636504
APOD,0.004059899784205653
S100B,-0.0010007712228236225
EDNRB,0.015414698365428992
PDK4,-0.007716786602058435
LEF1,0.013563986377161654
PKDCC,-0.021169956369608892
FBLN1,0.011497716725437968
SFRP2,0.0196580494295565
ESM1,-0.017564142438035345
BMP2,-0.021210140798711162
NES,0.01452566944910885
EFHD1,0.007948401897250362
BAMBI,0.011089650804980776
ID3,-0.0020360830195592745
STC2,-0.009999395167077683
VEGFA,-0.029630840154783802
LTBP1,-0.027035316815911477
SLCO2A1,-0.0020091300833783026
VCAM1,-0.007147239359021352
GALNT14,-0.025654095131603355
C1QTNF1,-0.011317798495126732
A2M,-0.020020398913259352
CD248,-0.002206513099117203
ENPP2,-0.023812673029865276
TMEM119,0.003352722192458929
ACP5,-0.009467666280832529
MMP9,-0.01093140279249964
ALPL,0.03359003038996491
CPE,-0.012487769316070981
LIMCH1,0.0073005577069458994
FAM20C,-0.0008038609608570408
SPP1,-0.009628435204131387
SERPINE2,-0.004223812012674286
PTN,0.01856236555447789
COL14A1,-0.04150223007997617
MATN2,0.013003747013722007
GNG11,-0.0036549473568720675
GEM,0.000442269825562421
COL15A1,-0.020130921049745117
FSTL1,-0.021037980656113172
LAMA4,-0.007796888880899552
MCAM,-0.0119522336421634
ADGRF5,-0.04269671746820242
PDGFRB,-0.020475616736920697
COL4A1,-0.005501403893544439
COL4A2,0.014459591610037681
VWF,-0.03640857294697941
KDR,-0.03454537551101794
PLVAP,-0.004122341784562019
APLNR,-0.01692132834349419
CLEC14A,-0.012588377818141679
RAB31,-0.004030523235190589
GASK1B,-0.024087372351667052
LRP1,-0.0216052654574041
NID1,-0.025777153299862327
SNAI2,-0.023113153294625148
GJA1,-0.01102348403241566
CSPG4,-0.023808202166582058
TNC,0.0003444730078336358
EDIL3,-0.0198677148622435
HTRA1,-0.019536454241962747
ASPN,0.006319725702514066
HTRA3,-0.009654885672410338
MXRA8,0.018900945974080575
COL16A1,-0.01449719265548301
PRRX1,0.001100338494240513
MMP14,-0.0015078249009852678
OLFML2B,-0.0322979770195089
SULF1,0.009239750443347088
FN1,-0.006805694734995231
TIMP3,0.006110459371957999
COL8A1,0.0012408166199510185
THBS2,-0.015907542987329285
DCN,-0.012628060629376195
SERPINF1,-1.9523924331347058e-05
TIMP2,-0.004603960175587165
ANGPTL2,-0.003571337268993047
COL6A1,-0.024647132360188204
COL6A2,-0.010183128074342601
AEBP1,0.006998280479832119
COL3A1,-0.011374687345248389
COL6A3,-0.01770912728887554
COL5A2,-0.00941146601884786
RCN3,0.01400302477432238
SPARC,-0.01553633227218256
COL5A1,-0.012280155222755992
COL1A1,-0.0033784335536800533
COL1A2,-0.005774032272858507
COL12A1,0.00946512304514698
POSTN,0.0027921846834131772
